iter	Passed	Remaining
0	60	60258
1	63	31585
2	66	22072
3	69	17256
4	72	14341
5	74	12354
6	77	10960
7	79	9908
8	82	9103
9	85	8444
10	87	7908
11	90	7454
12	93	7081
13	96	6767
14	98	6496
15	101	6260
16	104	6049
17	107	5848
18	109	5668
19	112	5517
20	115	5372
21	117	5241
22	120	5127
23	123	5021
24	126	4923
25	129	4835
26	132	4757
27	134	4666
28	137	4590
29	139	4515
30	142	4447
31	145	4387
32	147	4315
33	149	4250
34	152	4199
35	155	4152
36	157	4096
37	160	4062
38	163	4029
39	165	3977
40	168	3933
41	170	3893
42	172	3844
43	175	3811
44	178	3797
45	181	3759
46	184	3738
47	187	3721
48	190	3691
49	192	3661
50	194	3623
51	197	3599
52	200	3575
53	202	3553
54	205	3525
55	207	3503
56	210	3475
57	212	3446
58	214	3423
59	218	3419
60	220	3392
61	222	3373
62	225	3355
63	228	3341
64	230	3322
65	233	3301
66	236	3290
67	238	3272
68	241	3258
69	244	3249
70	247	3239
71	250	3229
72	253	3213
73	255	3203
74	258	3192
75	261	3181
76	264	3170
77	267	3164
78	270	3154
79	272	3136
80	275	3127
81	277	3110
82	279	3092
83	282	3079
84	284	3066
85	287	3052
86	289	3035
87	291	3019
88	293	3003
89	295	2991
90	298	2977
91	300	2963
92	302	2949
93	305	2941
94	307	2929
95	310	2923
96	313	2919
97	316	2915
98	319	2905
99	321	2893
100	324	2886
101	326	2878
102	329	2871
103	331	2859
104	335	2859
105	337	2850
106	340	2839
107	343	2834
108	345	2822
109	347	2811
110	349	2799
111	351	2788
112	354	2780
113	356	2770
114	359	2768
115	362	2764
116	365	2756
117	368	2753
118	370	2744
119	373	2741
120	376	2735
121	379	2733
122	382	2726
123	385	2721
124	387	2712
125	390	2708
126	392	2698
127	395	2693
128	397	2684
129	400	2679
130	402	2672
131	405	2664
132	407	2657
133	410	2653
134	413	2648
135	415	2641
136	418	2636
137	420	2627
138	423	2624
139	426	2622
140	428	2613
141	431	2608
142	434	2606
143	437	2599
144	440	2594
145	442	2588
146	445	2583
147	447	2576
148	450	2572
149	453	2568
150	455	2562
151	458	2558
152	461	2554
153	463	2546
154	465	2538
155	468	2535
156	471	2530
157	473	2523
158	476	2518
159	479	2515
160	482	2514
161	485	2511
162	488	2505
163	490	2499
164	493	2496
165	495	2489
166	497	2483
167	499	2475
168	503	2475
169	506	2472
170	508	2466
171	511	2463
172	514	2459
173	516	2454
174	519	2449
175	521	2442
176	524	2438
177	526	2432
178	529	2427
179	532	2423
180	534	2419
181	536	2412
182	539	2409
183	541	2402
184	544	2399
185	546	2392
186	550	2392
187	553	2389
188	555	2385
189	559	2383
190	562	2380
191	565	2379
192	567	2374
193	570	2369
194	573	2365
195	575	2362
196	578	2358
197	581	2355
198	584	2351
199	586	2346
200	589	2342
201	592	2340
202	595	2336
203	597	2331
204	599	2326
205	602	2320
206	604	2317
207	607	2312
208	610	2309
209	612	2303
210	614	2298
211	617	2296
212	620	2291
213	623	2288
214	625	2283
215	628	2280
216	630	2276
217	634	2274
218	637	2272
219	640	2269
220	643	2269
221	647	2269
222	649	2263
223	651	2258
224	654	2255
225	658	2254
226	660	2250
227	664	2248
228	666	2244
229	669	2239
230	672	2237
231	674	2233
232	677	2230
233	680	2227
234	683	2225
235	685	2220
236	688	2217
237	690	2211
238	693	2206
239	695	2201
240	697	2197
241	700	2194
242	702	2189
243	705	2185
244	708	2184
245	711	2179
246	713	2175
247	716	2171
248	718	2168
249	721	2165
250	723	2159
251	726	2157
252	728	2152
253	731	2148
254	734	2146
255	736	2141
256	740	2139
257	743	2137
258	746	2134
259	748	2130
260	750	2125
261	752	2120
262	754	2114
263	756	2109
264	758	2104
265	761	2100
266	763	2095
267	766	2093
268	768	2089
269	771	2086
270	774	2082
271	777	2079
272	780	2078
273	783	2074
274	785	2070
275	788	2067
276	791	2064
277	794	2063
278	797	2059
279	799	2055
280	801	2051
281	804	2047
282	807	2044
283	810	2042
284	812	2038
285	815	2034
286	817	2030
287	820	2027
288	823	2025
289	826	2023
290	829	2020
291	831	2016
292	834	2013
293	837	2010
294	839	2006
295	842	2003
296	845	2001
297	848	1999
298	851	1995
299	853	1991
300	856	1989
301	858	1985
302	861	1981
303	864	1978
304	867	1975
305	869	1972
306	872	1970
307	874	1965
308	877	1962
309	880	1958
310	883	1956
311	885	1952
312	888	1949
313	891	1946
314	894	1944
315	896	1940
316	898	1935
317	901	1933
318	903	1929
319	906	1925
320	908	1921
321	910	1918
322	913	1913
323	915	1909
324	917	1905
325	919	1902
326	922	1899
327	925	1897
328	928	1894
329	932	1892
330	934	1888
331	937	1885
332	940	1883
333	942	1879
334	944	1875
335	948	1873
336	950	1870
337	953	1868
338	956	1864
339	959	1861
340	962	1859
341	964	1856
342	967	1852
343	970	1850
344	973	1848
345	976	1845
346	978	1842
347	981	1839
348	984	1836
349	986	1832
350	989	1829
351	991	1825
352	995	1824
353	997	1820
354	1000	1816
355	1002	1813
356	1004	1810
357	1007	1806
358	1009	1802
359	1013	1801
360	1016	1799
361	1018	1795
362	1021	1792
363	1024	1789
364	1027	1787
365	1029	1783
366	1032	1780
367	1034	1776
368	1037	1773
369	1040	1771
370	1042	1767
371	1044	1763
372	1047	1760
373	1050	1757
